isotope,ST1-charged (g),ST1-discharged (g), ST2-charged (g),ST2-discharged (g)
PD104,0.000E+00,3.973E+02,0.000E+00,2.532E+02
PD105,0.000E+00,1.368E+03,0.000E+00,1.386E+02
PD106,0.000E+00,8.698E+02,0.000E+00,8.302E+01
PD107,0.000E+00,1.054E+03,0.000E+00,4.283E+01
PD107M,0.000E+00,1.634E-06,0.000E+00,0.000E+00
PD108,0.000E+00,1.222E+03,0.000E+00,2.317E+01
PD109,0.000E+00,4.380E-01,0.000E+00,1.623E-02
PD109M,0.000E+00,1.719E-05,0.000E+00,3.312E-05
PD110,0.000E+00,7.834E+02,0.000E+00,1.133E+01
PD111,0.000E+00,8.711E-03,0.000E+00,1.367E-04
PD111M,0.000E+00,3.722E-03,0.000E+00,4.283E-05
PD112,0.000E+00,5.498E-01,0.000E+00,5.986E-03
PD113,0.000E+00,6.790E-04,0.000E+00,6.531E-06
PD114,0.000E+00,7.454E-04,0.000E+00,9.962E-06
PD115,0.000E+00,1.348E-04,0.000E+00,2.255E-06
PD116,0.000E+00,4.921E-05,0.000E+00,9.841E-07
PD117,0.000E+00,1.182E-05,0.000E+00,1.706E-07
PD118,0.000E+00,2.844E-06,0.000E+00,0.000E+00
PD119,0.000E+00,5.864E-07,0.000E+00,0.000E+00
PD120,0.000E+00,1.079E-07,0.000E+00,0.000E+00
PD121,0.000E+00,8.310E-08,0.000E+00,0.000E+00
PD122,0.000E+00,1.353E-08,0.000E+00,0.000E+00
PD123,0.000E+00,1.322E-09,0.000E+00,0.000E+00
PD124,0.000E+00,3.046E-10,0.000E+00,0.000E+00
PD125,0.000E+00,7.231E-11,0.000E+00,0.000E+00
PD126,0.000E+00,4.821E-11,0.000E+00,0.000E+00
AG106,0.000E+00,1.843E-07,0.000E+00,0.000E+00
AG107,0.000E+00,1.165E-01,0.000E+00,8.188E-06
AG108,0.000E+00,1.510E-07,0.000E+00,0.000E+00
AG108M,0.000E+00,3.184E-02,0.000E+00,0.000E+00
AG109,0.000E+00,8.161E+02,0.000E+00,1.100E+01
AG109M,0.000E+00,3.533E-04,0.000E+00,1.325E-05
AG110,0.000E+00,1.473E-04,0.000E+00,6.436E-06
AG110M,0.000E+00,6.318E+00,0.000E+00,1.931E-01
AG111,0.000E+00,4.027E+00,0.000E+00,6.814E-02
AG111M,0.000E+00,4.035E-04,0.000E+00,6.767E-06
AG112,0.000E+00,8.218E-02,0.000E+00,9.345E-04
AG113,0.000E+00,1.373E-01,0.000E+00,1.254E-03
AG113M,0.000E+00,9.838E-05,0.000E+00,5.016E-07
AG114,0.000E+00,2.500E-05,0.000E+00,3.265E-07
AG115,0.000E+00,5.297E-03,0.000E+00,5.749E-05
AG115M,0.000E+00,3.481E-05,0.000E+00,3.502E-07
AG116,0.000E+00,8.244E-04,0.000E+00,5.962E-06
AG116M,0.000E+00,9.737E-06,0.000E+00,3.856E-07
