isotope,Charged (g),DF1 (g),FP1 (g),DF2 (g),FP2 (g),Losses (g)
RB95,0.00E+00,2.07E-07,0.00E+00,0.00E+00,4.34E-03,0.00E+00
RB96,0.00E+00,1.92E-08,0.00E+00,0.00E+00,4.01E-04,0.00E+00
RB97,0.00E+00,3.95E-09,0.00E+00,0.00E+00,8.28E-05,0.00E+00
RB98,0.00E+00,4.83E-09,0.00E+00,0.00E+00,1.01E-04,0.00E+00
RB99,0.00E+00,4.18E-12,0.00E+00,0.00E+00,8.75E-08,0.00E+00
RB100,0.00E+00,1.92E-10,0.00E+00,0.00E+00,4.01E-06,0.00E+00
RB101,0.00E+00,7.99E-15,0.00E+00,0.00E+00,1.67E-10,0.00E+00
SR86,0.00E+00,1.07E+01,0.00E+00,1.07E+01,2.70E+02,0.00E+00
SR87,0.00E+00,1.27E-01,0.00E+00,1.27E-01,3.75E+00,0.00E+00
SR87M,0.00E+00,1.02E-05,0.00E+00,0.00E+00,2.14E-01,0.00E+00
SR88,0.00E+00,1.93E+03,0.00E+00,1.93E+03,4.00E+04,0.00E+00
SR89,0.00E+00,5.51E+01,0.00E+00,5.51E+01,1.01E+03,0.00E+00
SR90,0.00E+00,2.19E+03,0.00E+00,2.19E+03,4.39E+04,0.00E+00
SR91,0.00E+00,4.70E-01,0.00E+00,0.00E+00,9.84E+03,0.00E+00
SR92,0.00E+00,1.30E-01,0.00E+00,0.00E+00,2.73E+03,0.00E+00
SR93,0.00E+00,6.21E-03,0.00E+00,0.00E+00,1.30E+02,0.00E+00
SR94,0.00E+00,8.94E-04,0.00E+00,0.00E+00,1.87E+01,0.00E+00
SR95,0.00E+00,1.88E-04,0.00E+00,0.00E+00,3.93E+00,0.00E+00
SR96,0.00E+00,4.60E-06,0.00E+00,0.00E+00,9.63E-02,0.00E+00
SR97,0.00E+00,6.87E-07,0.00E+00,0.00E+00,1.44E-02,0.00E+00
SR98,0.00E+00,3.98E-07,0.00E+00,0.00E+00,8.34E-03,0.00E+00
SR99,0.00E+00,1.97E-08,0.00E+00,0.00E+00,4.12E-04,0.00E+00
SR100,0.00E+00,2.42E-09,0.00E+00,0.00E+00,5.07E-05,0.00E+00
SR101,0.00E+00,1.20E-10,0.00E+00,0.00E+00,2.52E-06,0.00E+00
SR102,0.00E+00,3.15E-12,0.00E+00,0.00E+00,6.60E-08,0.00E+00
SR103,0.00E+00,3.11E-13,0.00E+00,0.00E+00,6.52E-09,0.00E+00
SR104,0.00E+00,4.87E-15,0.00E+00,0.00E+00,1.02E-10,0.00E+00
Y89,0.00E+00,3.78E+01,0.00E+00,3.55E+01,4.75E+04,0.00E+00
Y89M,0.00E+00,2.21E-08,0.00E+00,0.00E+00,4.62E-04,0.00E+00
Y90,0.00E+00,5.29E-01,0.00E+00,4.97E-01,6.66E+02,0.00E+00
Y90M,0.00E+00,1.87E-06,0.00E+00,0.00E+00,3.93E-02,0.00E+00
Y91,0.00E+00,2.13E+01,0.00E+00,2.00E+01,2.67E+04,0.00E+00
Y91M,0.00E+00,2.37E-02,0.00E+00,0.00E+00,4.97E+02,0.00E+00
Y92,0.00E+00,1.78E-01,0.00E+00,0.00E+00,3.72E+03,0.00E+00
Y93,0.00E+00,5.43E-01,0.00E+00,0.00E+00,1.14E+04,0.00E+00
Y94,0.00E+00,1.64E-02,0.00E+00,0.00E+00,3.44E+02,0.00E+00
Y95,0.00E+00,8.20E-03,0.00E+00,0.00E+00,1.72E+02,0.00E+00
Y96,0.00E+00,2.62E-05,0.00E+00,0.00E+00,5.49E-01,0.00E+00
Y97,0.00E+00,1.70E-05,0.00E+00,0.00E+00,3.56E-01,0.00E+00
Y98,0.00E+00,1.34E-06,0.00E+00,0.00E+00,2.80E-02,0.00E+00
Y99,0.00E+00,2.72E-06,0.00E+00,0.00E+00,5.69E-02,0.00E+00
Y100,0.00E+00,2.71E-07,0.00E+00,0.00E+00,5.68E-03,0.00E+00
Y101,0.00E+00,6.83E-08,0.00E+00,0.00E+00,1.43E-03,0.00E+00
Y102,0.00E+00,1.26E-08,0.00E+00,0.00E+00,2.63E-04,0.00E+00
Y103,0.00E+00,3.54E-10,0.00E+00,0.00E+00,7.41E-06,0.00E+00
Y104,0.00E+00,1.49E-11,0.00E+00,0.00E+00,3.11E-07,0.00E+00
Y105,0.00E+00,3.08E-13,0.00E+00,0.00E+00,6.45E-09,0.00E+00
Y106,0.00E+00,6.24E-14,0.00E+00,0.00E+00,1.31E-09,0.00E+00
Y107,0.00E+00,6.53E-16,0.00E+00,0.00E+00,1.37E-11,0.00E+00
ZR90,0.00E+00,2.62E+01,8.17E+03,2.62E+01,0.00E+00,0.00E+00
ZR90M,0.00E+00,0.00E+00,1.19E-06,0.00E+00,0.00E+00,0.00E+00
ZR91,0.00E+00,4.77E+01,1.48E+04,4.77E+01,0.00E+00,0.00E+00
ZR92,0.00E+00,1.45E+02,4.48E+04,1.45E+02,0.00E+00,0.00E+00
ZR93,0.00E+00,1.41E+02,4.35E+04,1.41E+02,0.00E+00,0.00E+00
ZR94,0.00E+00,1.75E+02,5.41E+04,1.75E+02,0.00E+00,0.00E+00
ZR95,0.00E+00,5.23E+01,1.62E+04,5.23E+01,0.00E+00,0.00E+00
ZR96,0.00E+00,1.50E+02,4.64E+04,1.50E+02,0.00E+00,0.00E+00
ZR97,0.00E+00,0.00E+00,1.44E+04,0.00E+00,0.00E+00,0.00E+00
ZR98,0.00E+00,0.00E+00,7.09E+00,0.00E+00,0.00E+00,0.00E+00
ZR99,0.00E+00,0.00E+00,4.02E-01,0.00E+00,0.00E+00,0.00E+00
ZR100,0.00E+00,0.00E+00,1.13E+00,0.00E+00,0.00E+00,0.00E+00
ZR101,0.00E+00,0.00E+00,1.61E-01,0.00E+00,0.00E+00,0.00E+00
ZR102,0.00E+00,0.00E+00,9.52E-02,0.00E+00,0.00E+00,0.00E+00
ZR103,0.00E+00,0.00E+00,9.66E-03,0.00E+00,0.00E+00,0.00E+00
ZR104,0.00E+00,0.00E+00,1.24E-03,0.00E+00,0.00E+00,0.00E+00
ZR105,0.00E+00,0.00E+00,2.17E-04,0.00E+00,0.00E+00,0.00E+00
ZR106,0.00E+00,0.00E+00,8.09E-07,0.00E+00,0.00E+00,0.00E+00
ZR107,0.00E+00,0.00E+00,4.31E-08,0.00E+00,0.00E+00,0.00E+00
ZR108,0.00E+00,0.00E+00,8.62E-09,0.00E+00,0.00E+00,0.00E+00
ZR109,0.00E+00,0.00E+00,1.61E-09,0.00E+00,0.00E+00,0.00E+00
NB91,0.00E+00,0.00E+00,1.24E-07,0.00E+00,0.00E+00,0.00E+00
NB92,0.00E+00,0.00E+00,1.36E-05,0.00E+00,0.00E+00,0.00E+00
NB93,0.00E+00,0.00E+00,1.25E-03,0.00E+00,0.00E+00,0.00E+00
NB93M,0.00E+00,0.00E+00,1.07E-02,0.00E+00,0.00E+00,0.00E+00
NB94,0.00E+00,0.00E+00,3.97E-02,0.00E+00,0.00E+00,0.00E+00
NB94M,0.00E+00,0.00E+00,3.44E-05,0.00E+00,0.00E+00,0.00E+00
NB95,0.00E+00,0.00E+00,3.35E+04,0.00E+00,0.00E+00,0.00E+00
NB95M,0.00E+00,0.00E+00,2.86E+02,0.00E+00,0.00E+00,0.00E+00
NB96,0.00E+00,0.00E+00,1.94E+01,0.00E+00,0.00E+00,0.00E+00
NB97,0.00E+00,0.00E+00,1.08E+03,0.00E+00,0.00E+00,0.00E+00
NB97M,0.00E+00,0.00E+00,4.27E-02,0.00E+00,0.00E+00,0.00E+00
NB98,0.00E+00,0.00E+00,6.80E-01,0.00E+00,0.00E+00,0.00E+00
NB98M,0.00E+00,0.00E+00,7.09E+00,0.00E+00,0.00E+00,0.00E+00
NB99,0.00E+00,0.00E+00,2.93E+00,0.00E+00,0.00E+00,0.00E+00
NB99M,0.00E+00,0.00E+00,5.15E+00,0.00E+00,0.00E+00,0.00E+00
NB100,0.00E+00,0.00E+00,2.71E-01,0.00E+00,0.00E+00,0.00E+00
NB100M,0.00E+00,0.00E+00,6.39E-02,0.00E+00,0.00E+00,0.00E+00
NB101,0.00E+00,0.00E+00,1.02E+00,0.00E+00,0.00E+00,0.00E+00
NB102,0.00E+00,0.00E+00,7.44E-02,0.00E+00,0.00E+00,0.00E+00
NB103,0.00E+00,0.00E+00,6.04E-02,0.00E+00,0.00E+00,0.00E+00
NB104,0.00E+00,0.00E+00,2.64E-02,0.00E+00,0.00E+00,0.00E+00
NB105,0.00E+00,0.00E+00,1.11E-02,0.00E+00,0.00E+00,0.00E+00
NB106,0.00E+00,0.00E+00,2.46E-04,0.00E+00,0.00E+00,0.00E+00
NB107,0.00E+00,0.00E+00,1.92E-05,0.00E+00,0.00E+00,0.00E+00
NB108,0.00E+00,0.00E+00,1.63E-06,0.00E+00,0.00E+00,0.00E+00
NB109,0.00E+00,0.00E+00,9.88E-07,0.00E+00,0.00E+00,0.00E+00
NB110,0.00E+00,0.00E+00,4.66E-08,0.00E+00,0.00E+00,0.00E+00
NB111,0.00E+00,0.00E+00,5.70E-09,0.00E+00,0.00E+00,0.00E+00
NB112,0.00E+00,0.00E+00,6.91E-11,0.00E+00,0.00E+00,0.00E+00
MO95,0.00E+00,0.00E+00,1.01E+03,0.00E+00,0.00E+00,0.00E+00
MO96,0.00E+00,0.00E+00,2.68E+01,0.00E+00,0.00E+00,0.00E+00
MO97,0.00E+00,0.00E+00,3.17E+04,0.00E+00,0.00E+00,0.00E+00
MO98,0.00E+00,0.00E+00,4.32E+04,0.00E+00,0.00E+00,0.00E+00
MO99,0.00E+00,0.00E+00,2.92E+04,0.00E+00,0.00E+00,0.00E+00
MO100,0.00E+00,0.00E+00,3.85E+04,0.00E+00,0.00E+00,0.00E+00
MO101,0.00E+00,0.00E+00,1.36E+02,0.00E+00,0.00E+00,0.00E+00
MO102,0.00E+00,0.00E+00,8.09E+01,0.00E+00,0.00E+00,0.00E+00
MO103,0.00E+00,0.00E+00,5.22E+00,0.00E+00,0.00E+00,0.00E+00
MO104,0.00E+00,0.00E+00,2.83E+00,0.00E+00,0.00E+00,0.00E+00
MO105,0.00E+00,0.00E+00,7.94E-01,0.00E+00,0.00E+00,0.00E+00
MO106,0.00E+00,0.00E+00,9.15E-02,0.00E+00,0.00E+00,0.00E+00
MO107,0.00E+00,0.00E+00,1.57E-02,0.00E+00,0.00E+00,0.00E+00
MO108,0.00E+00,0.00E+00,2.52E-03,0.00E+00,0.00E+00,0.00E+00
MO109,0.00E+00,0.00E+00,2.02E-04,0.00E+00,0.00E+00,0.00E+00
