isotope,ST1-charged (g),ST1-discharged (g),ST2-charged (g),ST2-discharged (g)
RH109,0.000E+00,2.730E-04,0.000E+00,1.931E-04
RH109M,0.000E+00,7.589E-05,0.000E+00,0.000E+00
RH110,0.000E+00,3.999E-05,0.000E+00,1.150E-08
RH110M,0.000E+00,3.039E-07,0.000E+00,0.000E+00
RH111,0.000E+00,4.789E-05,0.000E+00,1.160E-08
RH112,0.000E+00,1.759E-06,0.000E+00,4.041E-11
RH113,0.000E+00,2.330E-07,0.000E+00,0.000E+00
RH114,0.000E+00,2.459E-07,0.000E+00,0.000E+00
RH115,0.000E+00,6.451E-07,0.000E+00,0.000E+00
RH116,0.000E+00,4.229E-08,0.000E+00,0.000E+00
RH117,0.000E+00,2.859E-08,0.000E+00,0.000E+00
RH118,0.000E+00,1.260E-08,0.000E+00,0.000E+00
RH119,0.000E+00,1.600E-09,0.000E+00,0.000E+00
RH120,0.000E+00,8.628E-11,0.000E+00,0.000E+00
RH121,0.000E+00,1.869E-11,0.000E+00,0.000E+00
RH122,0.000E+00,1.090E-12,0.000E+00,0.000E+00
RH123,0.000E+00,1.180E-13,0.000E+00,0.000E+00
PD104,0.000E+00,4.649E+02,8.137E-12,2.801E+02
PD105,0.000E+00,6.106E+02,2.551E-08,1.040E+03
PD106,0.000E+00,3.759E+02,1.761E-08,7.173E+02
PD107,0.000E+00,3.609E+02,3.302E-08,7.112E+02
PD107M,0.000E+00,2.639E-08,0.000E+00,0.000E+00
PD108,0.000E+00,2.489E+02,6.255E-07,5.160E+02
PD109,0.000E+00,1.910E-01,0.000E+00,2.841E-01
PD109M,0.000E+00,4.309E-04,0.000E+00,0.000E+00
PD110,0.000E+00,8.228E+01,9.103E-06,1.801E+02
PD111,0.000E+00,1.039E-03,0.000E+00,1.361E-03
PD111M,0.000E+00,2.449E-04,0.000E+00,1.050E-04
PD112,0.000E+00,2.909E-02,0.000E+00,3.351E-02
PD113,0.000E+00,2.819E-05,0.000E+00,1.260E-05
PD114,0.000E+00,3.039E-05,0.000E+00,1.560E-05
PD115,0.000E+00,7.569E-06,0.000E+00,1.391E-07
PD116,0.000E+00,2.089E-06,0.000E+00,1.750E-09
PD117,0.000E+00,6.531E-07,0.000E+00,0.000E+00
