isotope,ST1-DF-charge (g),ST1-DF-discharge (g),ST1-BB-charge (g),ST1-BB-discharge (g),ST2-charge (g),ST2-discharge (g),ST3-charge (g),ST3-discharge (g)
NB106,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.272E-06
NB107,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.412E-07
MO95,1.721E-13,2.122E+03,1.874E-13,8.892E+02,1.873E-13,1.291E+03,0.000E+00,2.833E+03
MO96,1.742E-13,1.787E+02,1.897E-13,7.984E+01,1.894E-13,1.023E+02,0.000E+00,9.027E+01
MO97,1.758E-13,2.322E+03,1.918E-13,9.012E+02,1.912E-13,1.359E+03,0.000E+00,4.020E+03
MO98,1.779E-13,2.353E+03,1.933E-13,8.656E+02,1.931E-13,1.310E+03,0.000E+00,4.568E+03
MO99,1.795E-13,2.258E+00,1.953E-13,1.257E+00,1.952E-13,3.258E+00,0.000E+00,2.676E+01
MO100,1.816E-13,2.630E+03,1.977E-13,7.470E+02,1.971E-13,1.159E+03,0.000E+00,5.297E+03
MO101,3.217E-22,7.807E-03,2.391E-27,3.063E-03,4.337E-22,8.265E-03,0.000E+00,1.094E-01
MO102,1.144E-21,5.606E-03,1.055E-26,1.794E-03,1.331E-21,4.925E-03,0.000E+00,8.369E-02
MO103,1.874E-21,5.183E-04,4.427E-26,1.154E-04,0.000E+00,0.000E+00,0.000E+00,7.579E-03
MO104,2.120E-21,3.652E-04,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.107E-02
MO105,1.375E-21,1.514E-04,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,4.065E-03
MO106,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,4.131E-04
