isotope,Batch1-charged (g),Batch1-discharged (g),Batch2-charged (g),Batch3-discharged (g),Batch4-charged (g),Batch4-discharged (g),Batch5-charged (g),Batch5-discharged (g),Batch6-charged (g),Batch8-discharged (g)
BR83,4.837E-22,1.031E-02,5.907E-22,9.935E-03,0.000E+00,1.148E-02,0.000E+00,1.204E-02,0.000E+00,3.814E-03
BR84,4.837E-22,3.952E-03,5.907E-22,4.050E-03,0.000E+00,4.674E-03,0.000E+00,4.894E-03,0.000E+00,1.548E-03
BR84M,4.837E-22,1.907E-05,5.907E-22,1.229E-05,0.000E+00,1.418E-05,0.000E+00,1.485E-05,0.000E+00,4.695E-06
BR85,4.837E-22,4.265E-04,5.907E-22,4.557E-04,0.000E+00,5.259E-04,0.000E+00,5.506E-04,0.000E+00,1.741E-04
BR86,4.837E-22,9.861E-05,5.907E-22,1.081E-04,0.000E+00,1.247E-04,0.000E+00,1.307E-04,0.000E+00,4.129E-05
BR86M,4.837E-22,8.067E-06,5.907E-22,8.846E-06,0.000E+00,1.021E-05,0.000E+00,1.069E-05,0.000E+00,3.380E-06
BR87,4.837E-22,2.183E-04,5.907E-22,2.483E-04,0.000E+00,2.866E-04,0.000E+00,3.001E-04,0.000E+00,9.481E-05
BR88,4.837E-22,6.937E-05,5.907E-22,8.112E-05,0.000E+00,9.360E-05,0.000E+00,9.805E-05,0.000E+00,3.099E-05
BR89,4.837E-22,1.336E-05,5.907E-22,1.552E-05,0.000E+00,1.791E-05,0.000E+00,1.876E-05,0.000E+00,5.930E-06
BR90,4.837E-22,2.602E-06,5.907E-22,2.930E-06,0.000E+00,3.381E-06,0.000E+00,3.540E-06,0.000E+00,1.119E-06
BR91,4.837E-22,3.198E-07,5.907E-22,2.708E-07,0.000E+00,3.125E-07,0.000E+00,3.273E-07,0.000E+00,1.035E-07
BR92,4.837E-22,2.852E-08,5.907E-22,1.550E-08,0.000E+00,1.788E-08,0.000E+00,1.872E-08,0.000E+00,5.918E-09
BR93,4.837E-22,2.662E-09,5.907E-22,1.120E-09,0.000E+00,1.293E-09,0.000E+00,1.354E-09,0.000E+00,4.279E-10
BR94,4.837E-22,1.705E-10,5.907E-22,9.988E-11,0.000E+00,1.152E-10,0.000E+00,1.206E-10,0.000E+00,3.814E-11
BR95,4.837E-22,1.594E-11,5.907E-22,4.394E-12,0.000E+00,5.071E-12,0.000E+00,5.310E-12,0.000E+00,1.679E-12
BR96,4.837E-22,5.963E-13,5.907E-22,9.769E-14,0.000E+00,1.127E-13,0.000E+00,1.181E-13,0.000E+00,3.732E-14
KR79,4.837E-22,5.769E-12,5.907E-22,1.673E-12,0.000E+00,7.339E-12,0.000E+00,1.725E-11,0.000E+00,1.781E-11
KR80,4.837E-22,3.940E-04,5.907E-22,1.048E-04,5.482E-05,4.404E-04,2.374E-04,9.979E-04,5.508E-04,3.073E-03
KR81,4.837E-22,1.179E-04,5.907E-22,5.466E-05,2.858E-05,2.650E-04,1.428E-04,6.636E-04,3.661E-04,2.143E-03
KR81M,4.837E-22,7.631E-13,5.907E-22,1.302E-13,0.000E+00,5.067E-13,0.000E+00,1.161E-12,0.000E+00,1.182E-12
KR82,4.837E-22,7.883E+00,5.907E-22,4.115E+00,2.156E+00,1.153E+01,6.220E+00,2.001E+01,1.105E+01,4.170E+01
KR83,4.837E-22,2.197E+02,5.907E-22,1.278E+02,6.681E+01,2.225E+02,1.198E+02,2.868E+02,1.582E+02,4.001E+02
KR83M,4.837E-22,7.907E-03,5.907E-22,7.615E-03,0.000E+00,8.814E-03,0.000E+00,9.269E-03,0.000E+00,2.958E-03
KR84,4.837E-22,4.618E+02,5.907E-22,2.717E+02,1.420E+02,5.082E+02,2.739E+02,6.979E+02,3.850E+02,1.089E+03
KR85,4.837E-22,9.143E+01,5.907E-22,5.716E+01,1.902E+01,8.926E+01,3.059E+01,1.087E+02,3.813E+01,1.044E+02
KR85M,4.837E-22,4.024E-02,5.907E-22,4.288E-02,0.000E+00,4.951E-02,0.000E+00,5.188E-02,0.000E+00,1.642E-02
KR86,4.837E-22,8.130E+02,5.907E-22,4.999E+02,2.614E+02,9.174E+02,4.941E+02,1.239E+03,6.836E+02,1.882E+03
KR87,4.837E-22,2.179E-02,5.907E-22,2.403E-02,0.000E+00,2.775E-02,0.000E+00,2.909E-02,0.000E+00,9.207E-03
KR88,4.837E-22,7.044E-02,5.907E-22,7.846E-02,0.000E+00,9.050E-02,0.000E+00,9.477E-02,0.000E+00,2.996E-02
KR89,4.837E-22,1.567E-03,5.907E-22,1.778E-03,0.000E+00,2.052E-03,0.000E+00,2.149E-03,0.000E+00,6.792E-04
KR90,4.837E-22,2.764E-04,5.907E-22,3.186E-04,0.000E+00,3.676E-04,0.000E+00,3.850E-04,0.000E+00,1.216E-04
KR91,4.837E-22,4.964E-05,5.907E-22,5.309E-05,0.000E+00,6.127E-05,0.000E+00,6.417E-05,0.000E+00,2.028E-05
KR92,4.837E-22,4.984E-06,5.907E-22,4.479E-06,0.000E+00,5.168E-06,0.000E+00,5.412E-06,0.000E+00,1.711E-06
KR93,4.837E-22,1.235E-06,5.907E-22,9.124E-07,0.000E+00,1.053E-06,0.000E+00,1.103E-06,0.000E+00,3.486E-07
KR94,4.837E-22,8.266E-08,5.907E-22,8.473E-08,0.000E+00,9.781E-08,0.000E+00,1.024E-07,0.000E+00,3.237E-08
KR95,4.837E-22,4.316E-08,5.907E-22,2.603E-08,0.000E+00,3.004E-08,0.000E+00,3.145E-08,0.000E+00,9.948E-09
KR96,4.837E-22,5.236E-09,5.907E-22,2.336E-09,0.000E+00,2.696E-09,0.000E+00,2.823E-09,0.000E+00,8.925E-10
KR97,4.837E-22,1.153E-10,5.907E-22,4.418E-11,0.000E+00,5.098E-11,0.000E+00,5.339E-11,0.000E+00,1.687E-11
KR98,4.837E-22,1.934E-11,5.907E-22,2.809E-12,0.000E+00,3.241E-12,0.000E+00,3.394E-12,0.000E+00,1.073E-12
RB85,4.837E-22,4.232E+02,5.907E-22,2.576E+02,1.456E+02,4.789E+02,2.755E+02,6.470E+02,3.789E+02,1.011E+03
RB86,4.837E-22,3.472E-01,5.907E-22,2.284E-01,0.000E+00,4.453E-01,0.000E+00,6.254E-01,0.000E+00,3.291E-01
RB86M,4.837E-22,1.114E-07,5.907E-22,6.130E-08,0.000E+00,1.145E-07,0.000E+00,1.583E-07,0.000E+00,8.147E-08
RB87,4.837E-22,1.034E+03,5.907E-22,6.355E+02,3.324E+02,1.165E+03,6.277E+02,1.571E+03,8.678E+02,2.384E+03
