isotope,ST1-charged (g),ST1-discharged (g),ST2-charged (g),ST2-discharged (g)
MO104,0.000E+00,7.845E-04,0.000E+00,0.000E+00
MO105,0.000E+00,2.822E-04,0.000E+00,0.000E+00
MO106,0.000E+00,2.672E-05,0.000E+00,0.000E+00
MO107,0.000E+00,5.543E-06,0.000E+00,0.000E+00
MO108,0.000E+00,3.332E-07,0.000E+00,0.000E+00
MO109,0.000E+00,1.151E-07,0.000E+00,0.000E+00
MO110,0.000E+00,1.471E-08,0.000E+00,0.000E+00
MO111,0.000E+00,4.052E-10,0.000E+00,0.000E+00
MO112,0.000E+00,5.454E-11,0.000E+00,0.000E+00
MO113,0.000E+00,2.212E-12,0.000E+00,0.000E+00
MO114,0.000E+00,2.021E-13,0.000E+00,0.000E+00
MO115,0.000E+00,4.243E-15,0.000E+00,0.000E+00
TC98,0.000E+00,0.000E+00,0.000E+00,1.330E-02
TC99,0.000E+00,1.130E+03,1.080E-08,1.150E+03
TC99M,0.000E+00,1.531E-01,0.000E+00,0.000E+00
TC100,0.000E+00,1.021E-05,0.000E+00,0.000E+00
TC101,0.000E+00,7.895E-03,0.000E+00,0.000E+00
TC102,0.000E+00,4.943E-05,0.000E+00,0.000E+00
TC102M,0.000E+00,4.643E-06,0.000E+00,0.000E+00
TC103,0.000E+00,4.693E-04,0.000E+00,0.000E+00
TC104,0.000E+00,9.737E-03,0.000E+00,0.000E+00
TC105,0.000E+00,3.312E-03,0.000E+00,0.000E+00
TC106,0.000E+00,2.092E-04,0.000E+00,0.000E+00
TC107,0.000E+00,8.685E-05,0.000E+00,0.000E+00
TC108,0.000E+00,7.035E-06,0.000E+00,0.000E+00
TC109,0.000E+00,4.553E-05,0.000E+00,0.000E+00
TC110,0.000E+00,1.120E-07,0.000E+00,0.000E+00
TC111,0.000E+00,3.772E-08,0.000E+00,0.000E+00
TC112,0.000E+00,1.621E-09,0.000E+00,0.000E+00
TC113,0.000E+00,5.464E-10,0.000E+00,0.000E+00
TC114,0.000E+00,2.942E-11,0.000E+00,0.000E+00
TC115,0.000E+00,6.505E-12,0.000E+00,0.000E+00
TC116,0.000E+00,2.461E-13,0.000E+00,0.000E+00
TC117,0.000E+00,1.541E-14,0.000E+00,0.000E+00
RU99,0.000E+00,1.191E-02,0.000E+00,6.662E-02
RU100,0.000E+00,4.293E+01,0.000E+00,1.660E+02
RU101,0.000E+00,1.211E+03,0.000E+00,1.231E+03
RU102,0.000E+00,1.431E+03,0.000E+00,1.420E+03
RU103,0.000E+00,3.382E+01,0.000E+00,5.971E-13
RU104,0.000E+00,1.281E+03,0.000E+00,1.340E+03
RU105,0.000E+00,1.161E-01,0.000E+00,0.000E+00
RU106,0.000E+00,1.981E+02,0.000E+00,1.210E+01
RU107,0.000E+00,1.021E-03,0.000E+00,0.000E+00
RU108,0.000E+00,7.645E-04,0.000E+00,0.000E+00
RU109,0.000E+00,7.274E-05,0.000E+00,0.000E+00
RU110,0.000E+00,1.191E-05,0.000E+00,0.000E+00
RU111,0.000E+00,4.973E-06,0.000E+00,0.000E+00
RU112,0.000E+00,6.554E-08,0.000E+00,0.000E+00
RU113,0.000E+00,9.870E-08,0.000E+00,0.000E+00
RU114,0.000E+00,5.133E-08,0.000E+00,0.000E+00
RU115,0.000E+00,2.071E-09,0.000E+00,0.000E+00
RU116,0.000E+00,8.884E-10,0.000E+00,0.000E+00
RU117,0.000E+00,2.892E-11,0.000E+00,0.000E+00
