isotope,ST1-DF-charged (g),ST1-DF-discharged (g),ST1-BB-charged (g),ST1-BB-discharged (g)
TC112,0.000E+00,3.263E-08,0.000E+00,7.718E-09
TC113,0.000E+00,1.135E-08,0.000E+00,2.737E-09
TC114,0.000E+00,9.689E-10,0.000E+00,2.385E-10
TC115,0.000E+00,2.656E-10,0.000E+00,6.571E-11
TC116,0.000E+00,7.919E-12,0.000E+00,1.964E-12
TC117,0.000E+00,4.282E-13,0.000E+00,1.066E-13
RU99,0.000E+00,1.008E-02,0.000E+00,5.372E-03
RU100,0.000E+00,1.368E+02,0.000E+00,2.764E+01
RU101,0.000E+00,2.134E+03,0.000E+00,6.509E+02
RU102,0.000E+00,2.441E+03,0.000E+00,7.065E+02
RU103,0.000E+00,1.160E+02,0.000E+00,1.969E+01
RU104,0.000E+00,2.259E+03,0.000E+00,6.170E+02
RU105,0.000E+00,4.178E-01,0.000E+00,6.962E-02
RU106,0.000E+00,6.263E+02,0.000E+00,1.081E+02
RU107,0.000E+00,3.880E-03,0.000E+00,6.200E-04
RU108,0.000E+00,2.914E-03,0.000E+00,4.661E-04
RU109,0.000E+00,2.769E-04,0.000E+00,4.481E-05
RU110,0.000E+00,4.992E-05,0.000E+00,8.315E-06
RU111,0.000E+00,2.398E-05,0.000E+00,4.232E-06
RU112,0.000E+00,4.832E-07,0.000E+00,9.458E-08
RU113,0.000E+00,1.024E-06,0.000E+00,2.212E-07
RU114,0.000E+00,8.526E-07,0.000E+00,1.980E-07
RU115,0.000E+00,5.797E-08,0.000E+00,1.401E-08
RU116,0.000E+00,2.497E-08,0.000E+00,6.118E-09
RU117,0.000E+00,7.873E-10,0.000E+00,1.976E-10
RU118,0.000E+00,1.104E-08,0.000E+00,2.744E-09
RU120,0.000E+00,1.119E-12,0.000E+00,2.756E-13
RH102,0.000E+00,3.858E-02,0.000E+00,5.887E-03
RH103,0.000E+00,2.054E+03,0.000E+00,6.077E+02
RH103M,0.000E+00,1.038E-01,0.000E+00,1.759E-02
RH104,0.000E+00,3.042E-04,0.000E+00,2.868E-05
RH104M,0.000E+00,3.004E-04,0.000E+00,2.832E-05
RH105,0.000E+00,3.313E+00,0.000E+00,5.542E-01
RH105M,0.000E+00,3.294E-04,0.000E+00,5.490E-05
RH106,0.000E+00,5.891E-04,0.000E+00,1.020E-04
RH106M,0.000E+00,8.828E-04,0.000E+00,5.094E-05
RH107,0.000E+00,2.014E-02,0.000E+00,3.219E-03
RH108,0.000E+00,1.835E-04,0.000E+00,2.937E-05
RH108M,0.000E+00,4.767E-05,0.000E+00,7.729E-06
RH109,0.000E+00,7.362E-04,0.000E+00,1.188E-04
RH109M,0.000E+00,2.045E-04,0.000E+00,3.299E-05
RH110,0.000E+00,9.784E-05,0.000E+00,1.619E-05
RH110M,0.000E+00,7.605E-07,0.000E+00,1.170E-07
RH111,0.000E+00,1.342E-04,0.000E+00,2.281E-05
RH112,0.000E+00,5.945E-06,0.000E+00,1.063E-06
RH113,0.000E+00,7.308E-07,0.000E+00,1.407E-07
RH114,0.000E+00,8.272E-07,0.000E+00,1.699E-07
RH115,0.000E+00,2.165E-06,0.000E+00,4.800E-07
RH116,0.000E+00,1.361E-07,0.000E+00,3.158E-08
RH117,0.000E+00,7.895E-08,0.000E+00,2.052E-08
RH118,0.000E+00,4.121E-08,0.000E+00,1.018E-08
RH119,0.000E+00,6.108E-09,0.000E+00,1.280E-09
RH120,0.000E+00,2.813E-10,0.000E+00,6.833E-11
RH121,0.000E+00,6.098E-11,0.000E+00,1.489E-11
RH122,0.000E+00,3.552E-12,0.000E+00,8.706E-13
RH123,0.000E+00,3.902E-13,0.000E+00,9.627E-14
PD104,0.000E+00,2.450E+02,0.000E+00,4.573E+01
PD105,0.000E+00,1.644E+03,0.000E+00,4.556E+02
PD106,0.000E+00,1.164E+03,0.000E+00,3.260E+02
PD107,0.000E+00,1.048E+03,0.000E+00,2.587E+02
PD107M,0.000E+00,4.332E-08,0.000E+00,3.961E-09
PD108,0.000E+00,8.730E+02,0.000E+00,2.006E+02
PD109,0.000E+00,4.301E-01,0.000E+00,6.643E-02
PD109M,0.000E+00,1.158E-03,0.000E+00,1.862E-04
PD110,0.000E+00,2.595E+02,0.000E+00,6.808E+01
PD111,0.000E+00,3.063E-03,0.000E+00,5.023E-04
PD111M,0.000E+00,6.858E-04,0.000E+00,1.046E-04
PD112,0.000E+00,9.784E-02,0.000E+00,1.733E-02
PD113,0.000E+00,9.079E-05,0.000E+00,1.687E-05
